Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min
0,172.22.66.9,59002,172.22.66.22,102,TCP,2024-05-31 12:00:14.851533,0 days 00:00:38.933099,1006,1006,100327,137097.0,99.72862823061631,55.05763215356085,178,61,136.279324055666,70.30281357358456,230.0,60.0,6098.255882481895,51.67839323553463,0 days 00:00:00.019360,0 days 00:00:00.043308,0 days 00:00:00.765092,0 days 00:00:00.000002,0 days 00:00:38.933099,0 days 00:00:00.038739,0 days 00:00:00.056142,0 days 00:00:00.765092,0 days 00:00:00.001135,0 days 00:00:38.932871,0 days 00:00:00.038739,0 days 00:00:00.055008,0 days 00:00:00.765407,0 days 00:00:00.001460
1,172.22.66.10,137,172.22.66.255,137,UDP,2024-05-31 12:00:14.944409,0 days 00:00:37.161238,192,0,17664,0.0,92.0,0.0,92,92,,,,,475.33400259700716,5.166673941271817,0 days 00:00:00.194561,0 days 00:00:00.739071,0 days 00:00:05.089858,0 days 00:00:00.000002,0 days 00:00:37.161238,0 days 00:00:00.194561,0 days 00:00:00.739071,0 days 00:00:05.089858,0 days 00:00:00.000002,,,,,
2,172.22.66.23,65175,172.22.66.21,102,TCP,2024-05-31 12:00:15.020043,1 days 00:29:19.520403,312,468,30498,36894.0,97.75,35.94005425705421,157,60,78.83333333333333,19.573933914491715,103.0,60.0,0.7644324707295788,0.008847598040851607,0 days 00:01:53.170116,0 days 00:52:35.226424,1 days 00:28:40.800662,0 days 00:00:00,1 days 00:29:19.517600,0 days 00:04:43.471117,0 days 01:23:08.825208,1 days 00:28:40.802860,0 days 00:00:00,1 days 00:29:19.519722,0 days 00:03:08.778414,0 days 01:07:53.372275,1 days 00:28:40.800662,0 days 00:00:00
3,172.22.66.22,102,172.22.66.9,59001,TCP,2024-05-31 12:00:15.071836,0 days 00:00:38.700671,99,51,11268,3111.0,113.81818181818181,58.25620245061415,180,60,61.0,0.0,61.0,61.0,371.54394558171873,3.8759017899198698,0 days 00:00:00.259736,0 days 00:00:00.299107,0 days 00:00:01.366698,0 days 00:00:00.000237,0 days 00:00:38.700346,0 days 00:00:00.394901,0 days 00:00:00.287582,0 days 00:00:01.366698,0 days 00:00:00.027770,0 days 00:00:38.700226,0 days 00:00:00.774004,0 days 00:00:00.275594,0 days 00:00:01.539757,0 days 00:00:00.039277
4,172.22.66.21,102,172.22.66.22,62718,TCP,2024-05-31 12:00:15.103149,1 days 00:29:19.204460,540,346,42794,31850.0,79.24814814814815,19.909273297569438,103,60,92.05202312138728,26.14836855308386,137.0,60.0,0.8466954807182706,0.010049999945292157,0 days 00:01:39.614920,0 days 00:49:20.472864,1 days 00:28:40.801120,0 days 00:00:00,1 days 00:29:19.204460,0 days 00:02:43.560676,0 days 01:03:12.105906,1 days 00:28:40.801120,0 days 00:00:00,1 days 00:29:19.202856,0 days 00:04:15.533921,0 days 01:18:57.377789,1 days 00:28:40.802456,0 days 00:00:00.000001
5,172.22.66.24,49152,172.22.66.21,102,TCP,2024-05-31 12:00:15.128042,1 days 00:29:19.293319,388,388,35890,28518.0,92.5,32.5,125,60,73.5,13.5,87.0,60.0,0.7305866185535638,0.008802248416307997,0 days 00:01:53.753926,0 days 00:52:43.351019,1 days 00:28:40.885427,0 days 00:00:00,1 days 00:29:19.293319,0 days 00:03:47.801791,0 days 01:14:33.640171,1 days 00:28:40.885427,0 days 00:00:00,1 days 00:29:19.292127,0 days 00:03:47.801788,0 days 01:14:33.640229,1 days 00:28:40.886567,0 days 00:00:00.000001
6,172.22.66.50,63784,172.22.66.22,502,TCP,2024-05-31 12:00:15.364185,0 days 00:00:38.064486,116,78,8247,5187.0,71.09482758620689,11.580288282007983,87,60,66.5,0.5,67.0,66.0,352.92739799507603,5.096614203591242,0 days 00:00:00.197225,0 days 00:00:00.369106,0 days 00:00:00.988196,0 days 00:00:00.002535,0 days 00:00:38.064486,0 days 00:00:00.330995,0 days 00:00:00.429584,0 days 00:00:00.991540,0 days 00:00:00.005904,0 days 00:00:38.008035,0 days 00:00:00.493610,0 days 00:00:00.490737,0 days 00:00:01.001162,0 days 00:00:00.006236
7,172.22.66.10,50196,224.0.0.252,5355,UDP,2024-05-31 12:00:15.609569,0 days 00:00:00.409583,2,0,132,0.0,66.0,0.0,66,66,,,,,322.27900083743714,4.883015164203592,0 days 00:00:00.409583,0 days 00:00:00,0 days 00:00:00.409583,0 days 00:00:00.409583,0 days 00:00:00.409583,0 days 00:00:00.409583,0 days 00:00:00,0 days 00:00:00.409583,0 days 00:00:00.409583,,,,,
8,172.22.66.10,51435,224.0.0.252,5355,UDP,2024-05-31 12:00:15.609575,0 days 00:00:00.409598,2,0,132,0.0,66.0,0.0,66,66,,,,,322.2671985703055,4.8828363419743255,0 days 00:00:00.409598,0 days 00:00:00,0 days 00:00:00.409598,0 days 00:00:00.409598,0 days 00:00:00.409598,0 days 00:00:00.409598,0 days 00:00:00,0 days 00:00:00.409598,0 days 00:00:00.409598,,,,,
9,172.22.66.10,54136,224.0.0.252,5355,UDP,2024-05-31 12:00:15.609582,0 days 00:00:00.409584,2,0,132,0.0,66.0,0.0,66,66,,,,,322.2782139927341,4.883003242314153,0 days 00:00:00.409584,0 days 00:00:00,0 days 00:00:00.409584,0 days 00:00:00.409584,0 days 00:00:00.409584,0 days 00:00:00.409584,0 days 00:00:00,0 days 00:00:00.409584,0 days 00:00:00.409584,,,,,
